Algorithm,Seed,NodeID,CHSelections
HEED,4,15,37
HEED,4,16,35
HEED,4,17,48
HEED,4,18,48
HEED,4,19,53
HEED,4,20,54
HEED,4,21,47
HEED,4,22,54
HEED,4,23,53
HEED,4,24,43
HEED,4,25,52
HEED,4,26,46
HEED,4,27,81
HEED,4,28,48
HEED,4,29,46
HEED,4,30,47
HEED,4,31,55
HEED,4,32,44
HEED,4,33,49
HEED,4,34,67
HEED,4,35,47
HEED,4,36,48
HEED,4,37,87
HEED,4,38,50
HEED,4,39,65
HEED,4,40,47
HEED,4,41,166
HEED,4,42,116
HEED,4,43,42
HEED,4,44,47
HEED,4,45,64
HEED,4,46,43
HEED,4,47,46
HEED,4,48,39
HEED,4,49,46
HEED,4,50,76
HEED,4,51,58
HEED,4,52,46
HEED,4,53,45
HEED,4,54,51
HEED,4,55,148
HEED,4,56,80
HEED,4,57,93
HEED,4,58,69
HEED,4,59,47
HEED,4,60,72
HEED,4,61,75
HEED,4,62,42
HEED,4,63,52
HEED,4,64,61
HEED,4,65,42
HEED,4,66,53
HEED,4,67,147
HEED,4,68,47
HEED,4,69,51
HEED,4,70,65
HEED,4,71,78
HEED,4,72,44
HEED,4,73,66
HEED,4,74,92
HEED,4,75,69
HEED,4,76,62
HEED,4,77,46
HEED,4,78,58
HEED,4,79,58
HEED,4,80,45
HEED,4,81,78
HEED,4,82,77
HEED,4,83,64
HEED,4,84,57
HEED,4,85,49
HEED,4,86,41
HEED,4,87,51
HEED,4,88,37
HEED,4,89,64
HEED,4,90,73
HEED,4,91,49
HEED,4,92,62
HEED,4,93,49
HEED,4,94,43
HEED,4,95,69
HEED,4,96,137
HEED,4,97,49
HEED,4,98,43
HEED,4,99,48
HEED,5,0,114
HEED,5,1,53
HEED,5,2,41
HEED,5,3,46
HEED,5,4,63
HEED,5,5,54
HEED,5,6,47
HEED,5,7,43
HEED,5,8,44
HEED,5,9,185
HEED,5,10,60
HEED,5,11,63
HEED,5,12,130
HEED,5,13,49
HEED,5,14,89
HEED,5,15,119
HEED,5,16,44
HEED,5,17,64
HEED,5,18,52
HEED,5,19,49
HEED,5,20,44
HEED,5,21,70
HEED,5,22,59
HEED,5,23,62
HEED,5,24,52
HEED,5,25,69
HEED,5,26,81
HEED,5,27,121
HEED,5,28,59
HEED,5,29,51
HEED,5,30,54
HEED,5,31,44
HEED,5,32,63
HEED,5,33,107
HEED,5,34,59
HEED,5,35,51
HEED,5,36,133
HEED,5,37,45
HEED,5,38,46
HEED,5,39,81
HEED,5,40,43
HEED,5,41,53
HEED,5,42,47
HEED,5,43,59
HEED,5,44,46
HEED,5,45,45
HEED,5,46,44
HEED,5,47,42
HEED,5,48,262
HEED,5,49,71
HEED,5,50,60
HEED,5,51,53
HEED,5,52,109
HEED,5,53,45
HEED,5,54,52
HEED,5,55,45
HEED,5,56,45
HEED,5,57,54
HEED,5,58,57
HEED,5,59,65
HEED,5,60,46
HEED,5,61,66
HEED,5,62,68
HEED,5,63,39
HEED,5,64,52
HEED,5,65,44
HEED,5,66,45
HEED,5,67,68
HEED,5,68,50
HEED,5,69,44
HEED,5,70,59
HEED,5,71,46
HEED,5,72,101
HEED,5,73,45
HEED,5,74,67
HEED,5,75,113
HEED,5,76,57
HEED,5,77,52
HEED,5,78,47
HEED,5,79,54
HEED,5,80,62
HEED,5,81,61
HEED,5,82,65
HEED,5,83,47
HEED,5,84,49
HEED,5,85,51
HEED,5,86,120
HEED,5,87,53
HEED,5,88,45
HEED,5,89,69
HEED,5,90,62
HEED,5,91,60
HEED,5,92,58
HEED,5,93,68
HEED,5,94,45
HEED,5,95,54
HEED,5,96,72
HEED,5,97,69
HEED,5,98,53
HEED,5,99,66
HEED,6,0,65
HEED,6,1,59
HEED,6,2,51
HEED,6,3,50
HEED,6,4,46
HEED,6,5,81
HEED,6,6,58
HEED,6,7,42
HEED,6,8,41
HEED,6,9,81
HEED,6,10,71
HEED,6,11,45
HEED,6,12,80
HEED,6,13,64
HEED,6,14,113
HEED,6,15,68
HEED,6,16,60
HEED,6,17,51
HEED,6,18,58
HEED,6,19,76
HEED,6,20,81
HEED,6,21,70
HEED,6,22,64
HEED,6,23,62
HEED,6,24,62
HEED,6,25,60
HEED,6,26,58
HEED,6,27,202
HEED,6,28,56
HEED,6,29,52
HEED,6,30,65
HEED,6,31,67
HEED,6,32,56
HEED,6,33,76
HEED,6,34,72
HEED,6,35,64
HEED,6,36,71
HEED,6,37,56
HEED,6,38,42
HEED,6,39,77
HEED,6,40,61
HEED,6,41,56
HEED,6,42,87
HEED,6,43,69
HEED,6,44,56
HEED,6,45,55
HEED,6,46,67
HEED,6,47,71
HEED,6,48,129
HEED,6,49,112
HEED,6,50,98
HEED,6,51,61
HEED,6,52,58
HEED,6,53,44
HEED,6,54,85
HEED,6,55,63
HEED,6,56,67
HEED,6,57,118
HEED,6,58,63
HEED,6,59,45
HEED,6,60,68
HEED,6,61,104
HEED,6,62,67
