Algorithm,Seed,NodeID,CHSelections
Proposed,3,87,45
Proposed,3,88,25
Proposed,3,89,67
Proposed,3,90,35
Proposed,3,91,26
Proposed,3,92,36
Proposed,3,93,29
Proposed,3,94,21
Proposed,3,95,56
Proposed,3,96,42
Proposed,3,97,22
Proposed,3,98,26
Proposed,3,99,40
Proposed,4,0,26
Proposed,4,1,20
Proposed,4,2,27
Proposed,4,3,35
Proposed,4,4,93
Proposed,4,5,26
Proposed,4,6,60
Proposed,4,7,29
Proposed,4,8,25
Proposed,4,9,39
Proposed,4,10,54
Proposed,4,11,23
Proposed,4,12,37
Proposed,4,13,33
Proposed,4,14,26
Proposed,4,15,31
Proposed,4,16,39
Proposed,4,17,38
Proposed,4,18,31
Proposed,4,19,51
Proposed,4,20,26
Proposed,4,21,49
Proposed,4,22,19
Proposed,4,23,35
Proposed,4,24,37
Proposed,4,25,24
Proposed,4,26,36
Proposed,4,27,32
Proposed,4,28,40
Proposed,4,29,28
Proposed,4,30,25
Proposed,4,31,28
Proposed,4,32,43
Proposed,4,33,32
Proposed,4,34,51
Proposed,4,35,23
Proposed,4,36,35
Proposed,4,37,29
Proposed,4,38,30
Proposed,4,39,24
Proposed,4,40,25
Proposed,4,41,113
Proposed,4,42,33
Proposed,4,43,33
Proposed,4,44,31
Proposed,4,45,29
Proposed,4,46,32
Proposed,4,47,32
Proposed,4,48,33
Proposed,4,49,28
Proposed,4,50,26
Proposed,4,51,31
Proposed,4,52,22
Proposed,4,53,32
Proposed,4,54,41
Proposed,4,55,67
Proposed,4,56,32
Proposed,4,57,32
Proposed,4,58,30
Proposed,4,59,35
Proposed,4,60,28
Proposed,4,61,60
Proposed,4,62,39
Proposed,4,63,33
Proposed,4,64,19
Proposed,4,65,32
Proposed,4,66,21
Proposed,4,67,30
Proposed,4,68,36
Proposed,4,69,35
Proposed,4,70,41
Proposed,4,71,63
Proposed,4,72,42
Proposed,4,73,25
Proposed,4,74,23
Proposed,4,75,27
Proposed,4,76,43
Proposed,4,77,33
Proposed,4,78,19
Proposed,4,79,22
Proposed,4,80,44
Proposed,4,81,26
Proposed,4,82,34
Proposed,4,83,23
Proposed,4,84,29
Proposed,4,85,39
Proposed,4,86,38
Proposed,4,87,33
Proposed,4,88,38
Proposed,4,89,44
Proposed,4,90,33
Proposed,4,91,42
Proposed,4,92,50
Proposed,4,93,35
Proposed,4,94,34
Proposed,4,95,55
Proposed,4,96,35
Proposed,4,97,33
Proposed,4,98,37
Proposed,4,99,39
Proposed,5,0,38
Proposed,5,1,21
Proposed,5,2,34
Proposed,5,3,25
Proposed,5,4,27
Proposed,5,5,37
Proposed,5,6,45
Proposed,5,7,26
Proposed,5,8,25
Proposed,5,9,98
Proposed,5,10,29
Proposed,5,11,33
Proposed,5,12,39
Proposed,5,13,23
Proposed,5,14,48
Proposed,5,15,78
Proposed,5,16,35
Proposed,5,17,28
Proposed,5,18,24
Proposed,5,19,28
Proposed,5,20,22
Proposed,5,21,42
Proposed,5,22,29
Proposed,5,23,30
Proposed,5,24,26
Proposed,5,25,50
Proposed,5,26,45
Proposed,5,27,35
Proposed,5,28,28
Proposed,5,29,26
Proposed,5,30,28
Proposed,5,31,32
Proposed,5,32,29
Proposed,5,33,52
Proposed,5,34,31
Proposed,5,35,27
Proposed,5,36,54
Proposed,5,37,26
Proposed,5,38,48
Proposed,5,39,32
Proposed,5,40,42
Proposed,5,41,25
Proposed,5,42,24
Proposed,5,43,27
Proposed,5,44,22
Proposed,5,45,25
Proposed,5,46,26
Proposed,5,47,35
Proposed,5,48,49
Proposed,5,49,26
Proposed,5,50,33
Proposed,5,51,51
Proposed,5,52,32
Proposed,5,53,25
Proposed,5,54,36
Proposed,5,55,30
Proposed,5,56,47
Proposed,5,57,36
Proposed,5,58,30
Proposed,5,59,48
Proposed,5,60,26
Proposed,5,61,47
Proposed,5,62,24
Proposed,5,63,48
Proposed,5,64,43
Proposed,5,65,36
Proposed,5,66,26
Proposed,5,67,35
Proposed,5,68,30
Proposed,5,69,42
Proposed,5,70,28
Proposed,5,71,39
Proposed,5,72,86
Proposed,5,73,24
Proposed,5,74,31
Proposed,5,75,28
Proposed,5,76,33
Proposed,5,77,29
Proposed,5,78,49
Proposed,5,79,21
Proposed,5,80,55
Proposed,5,81,32
Proposed,5,82,27
Proposed,5,83,26
Proposed,5,84,36
Proposed,5,85,22
Proposed,5,86,33
Proposed,5,87,25
Proposed,5,88,27
Proposed,5,89,42
Proposed,5,90,42
Proposed,5,91,27
Proposed,5,92,28
Proposed,5,93,45
Proposed,5,94,28
Proposed,5,95,54
Proposed,5,96,29
Proposed,5,97,29
Proposed,5,98,32
Proposed,5,99,41
Proposed,6,0,20
Proposed,6,1,26
Proposed,6,2,37
Proposed,6,3,33
Proposed,6,4,46
Proposed,6,5,40
Proposed,6,6,36
Proposed,6,7,26
Proposed,6,8,40
Proposed,6,9,21
Proposed,6,10,72
Proposed,6,11,42
Proposed,6,12,21
Proposed,6,13,43
Proposed,6,14,43
Proposed,6,15,49
Proposed,6,16,43
Proposed,6,17,28
Proposed,6,18,47
Proposed,6,19,35
Proposed,6,20,104
Proposed,6,21,43
Proposed,6,22,44
Proposed,6,23,20
Proposed,6,24,34
Proposed,6,25,20
Proposed,6,26,44
Proposed,6,27,57
Proposed,6,28,32
Proposed,6,29,38
Proposed,6,30,26
Proposed,6,31,28
Proposed,6,32,44
Proposed,6,33,31
Proposed,6,34,43
Proposed,6,35,18
Proposed,6,36,24
Proposed,6,37,38
Proposed,6,38,38
Proposed,6,39,26
Proposed,6,40,21
Proposed,6,41,41
Proposed,6,42,28
Proposed,6,43,29
Proposed,6,44,27
Proposed,6,45,27
Proposed,6,46,36
Proposed,6,47,61
Proposed,6,48,43
Proposed,6,49,117
Proposed,6,50,26
Proposed,6,51,23
Proposed,6,52,45
Proposed,6,53,26
Proposed,6,54,23
Proposed,6,55,27
Proposed,6,56,31
Proposed,6,57,38
Proposed,6,58,42
Proposed,6,59,39
Proposed,6,60,47
Proposed,6,61,35
Proposed,6,62,30
Proposed,6,63,27
Proposed,6,64,18
Proposed,6,65,24
Proposed,6,66,36
Proposed,6,67,33
Proposed,6,68,25
Proposed,6,69,39
Proposed,6,70,18
Proposed,6,71,30
Proposed,6,72,27
Proposed,6,73,27
Proposed,6,74,26
Proposed,6,75,31
Proposed,6,76,34
Proposed,6,77,34
Proposed,6,78,33
Proposed,6,79,33
Proposed,6,80,37
Proposed,6,81,37
Proposed,6,82,61
Proposed,6,83,23
Proposed,6,84,39
Proposed,6,85,35
Proposed,6,86,38
Proposed,6,87,36
Proposed,6,88,31
Proposed,6,89,28
Proposed,6,90,28
Proposed,6,91,31
Proposed,6,92,34
Proposed,6,93,55
Proposed,6,94,29
Proposed,6,95,25
Proposed,6,96,27
Proposed,6,97,37
Proposed,6,98,25
Proposed,6,99,26
Proposed,7,0,38
Proposed,7,1,86
Proposed,7,2,28
Proposed,7,3,37
Proposed,7,4,22
Proposed,7,5,24
Proposed,7,6,29
Proposed,7,7,32
Proposed,7,8,26
Proposed,7,9,38
Proposed,7,10,41
Proposed,7,11,36
Proposed,7,12,32
Proposed,7,13,40
Proposed,7,14,31
Proposed,7,15,32
Proposed,7,16,32
Proposed,7,17,39
Proposed,7,18,28
Proposed,7,19,36
Proposed,7,20,33
Proposed,7,21,44
Proposed,7,22,78
Proposed,7,23,35
Proposed,7,24,39
Proposed,7,25,21
Proposed,7,26,30
Proposed,7,27,34
Proposed,7,28,40
Proposed,7,29,44
Proposed,7,30,51
Proposed,7,31,24
Proposed,7,32,23
Proposed,7,33,27
Proposed,7,34,36
Proposed,7,35,29
Proposed,7,36,40
Proposed,7,37,23
Proposed,7,38,67
Proposed,7,39,43
Proposed,7,40,45
Proposed,7,41,34
Proposed,7,42,26
Proposed,7,43,25
Proposed,7,44,25
Proposed,7,45,41
Proposed,7,46,24
Proposed,7,47,30
Proposed,7,48,28
Proposed,7,49,28
Proposed,7,50,32
Proposed,7,51,23
Proposed,7,52,57
Proposed,7,53,32
Proposed,7,54,25
Proposed,7,55,20
Proposed,7,56,36
Proposed,7,57,53
Proposed,7,58,27
Proposed,7,59,28
Proposed,7,60,32
Proposed,7,61,27
Proposed,7,62,27
Proposed,7,63,23
Proposed,7,64,38
Proposed,7,65,48
Proposed,7,66,39
Proposed,7,67,36
Proposed,7,68,31
Proposed,7,69,34
Proposed,7,70,159
Proposed,7,71,27
Proposed,7,72,37
